date,per_kilo,per_gram,per_ounce
15.09.2020 12:00:00,62967.24,62.97,1958.5
14.09.2020 12:00:00,62800.05,62.8,1953.3
13.09.2020 12:00:00,62845.06,62.85,1954.7
08.09.2020 12:00:00,62031.65,62.03,1929.4
07.09.2020 12:00:00,61967.35,61.97,1927.4
06.09.2020 12:00:00,62359.59,62.36,1939.6
04.09.2020 12:00:00,62205.26,62.21,1934.8
03.09.2020 12:00:00,61954.49,61.95,1927.0
02.09.2020 12:00:00,62218.12,62.22,1935.2
01.09.2020 12:00:00,63414.13,63.41,1972.4
31.08.2020 12:00:00,63877.1,63.88,1986.8
30.08.2020 12:00:00,63314.47,63.31,1969.3
28.08.2020 12:00:00,63153.71,63.15,1964.3
27.08.2020 12:00:00,63153.71,63.15,1964.3
26.08.2020 12:00:00,62050.94,62.05,1930.0
25.08.2020 12:00:00,62523.56,62.52,1944.7
24.08.2020 12:00:00,61903.05,61.9,1925.4
23.08.2020 12:00:00,62610.36,62.61,1947.4
22.08.2020 12:00:00,62449.61,62.45,1942.4
21.08.2020 12:00:00,62449.61,62.45,1942.4
19.08.2020 12:00:00,62539.63,62.54,1945.2
18.08.2020 12:00:00,63761.36,63.76,1983.2
17.08.2020 12:00:00,64317.57,64.32,2000.5
16.08.2020 12:00:00,62661.81,62.66,1949.0
15.08.2020 12:00:00,62526.77,62.53,1944.8
14.08.2020 12:00:00,62526.77,62.53,1944.8
12.08.2020 12:00:00,62783.98,62.78,1952.8
11.08.2020 12:00:00,61935.2,61.94,1926.4
10.08.2020 12:00:00,64976.66,64.98,2021.0
09.08.2020 12:00:00,65330.32,65.33,2032.0
07.08.2020 12:00:00,65420.34,65.42,2034.8
06.08.2020 12:00:00,65349.61,65.35,2032.6
05.08.2020 12:00:00,66259.47,66.26,2060.9
04.08.2020 12:00:00,66053.71,66.05,2054.5
03.08.2020 12:00:00,63571.67,63.57,1977.3
02.08.2020 12:00:00,63410.92,63.41,1972.3
01.08.2020 12:00:00,63533.09,63.53,1976.1
31.07.2020 12:00:00,63533.09,63.53,1976.1
30.07.2020 12:00:00,62986.53,62.99,1959.1
28.07.2020 12:00:00,63365.91,63.37,1970.9
27.07.2020 12:00:00,62716.46,62.72,1950.7
26.07.2020 12:00:00,62234.2,62.23,1935.7
25.07.2020 12:00:00,61128.21,61.13,1901.3
24.07.2020 12:00:00,61128.21,61.13,1901.3
23.07.2020 12:00:00,60912.8,60.91,1894.6
22.07.2020 12:00:00,60485.2,60.49,1881.3
21.07.2020 12:00:00,59697.51,59.7,1856.8
20.07.2020 12:00:00,58437.2,58.44,1817.6
19.07.2020 12:00:00,58099.61,58.1,1807.1
18.07.2020 12:00:00,58202.5,58.2,1810.3
16.07.2020 12:00:00,58202.5,58.2,1810.3
15.07.2020 12:00:00,57742.74,57.74,1796.0
14.07.2020 12:00:00,58241.08,58.24,1811.5
13.07.2020 12:00:00,58186.42,58.19,1809.8
12.07.2020 12:00:00,58170.35,58.17,1809.3
11.07.2020 12:00:00,57826.33,57.83,1798.6
10.07.2020 12:00:00,57826.33,57.83,1798.6
09.07.2020 12:00:00,58163.92,58.16,1809.1
08.07.2020 12:00:00,58286.09,58.29,1812.9
07.07.2020 12:00:00,57858.48,57.86,1799.6
06.07.2020 12:00:00,57247.62,57.25,1780.6
05.07.2020 12:00:00,57070.79,57.07,1775.1
04.07.2020 12:00:00,57048.28,57.05,1774.4
03.07.2020 12:00:00,57048.28,57.05,1774.4
02.07.2020 12:00:00,57070.79,57.07,1775.1
01.07.2020 12:00:00,56816.8,56.82,1767.2
30.06.2020 12:00:00,57263.69,57.26,1781.1
29.06.2020 12:00:00,56877.89,56.88,1769.1
28.06.2020 12:00:00,56945.4,56.95,1771.2
26.06.2020 12:00:00,56955.05,56.96,1771.5
25.06.2020 12:00:00,56955.05,56.96,1771.5
24.06.2020 12:00:00,56752.5,56.75,1765.2
23.06.2020 12:00:00,56627.11,56.63,1761.3
22.06.2020 12:00:00,56848.95,56.85,1768.2
21.06.2020 12:00:00,56447.07,56.45,1755.7
20.06.2020 12:00:00,56064.47,56.06,1743.8
19.06.2020 12:00:00,56064.47,56.06,1743.8
18.06.2020 12:00:00,56022.68,56.02,1742.5
17.06.2020 12:00:00,55427.89,55.43,1724.0
16.06.2020 12:00:00,55434.32,55.43,1724.2
15.06.2020 12:00:00,55517.91,55.52,1726.8
14.06.2020 12:00:00,55283.21,55.28,1719.5
13.06.2020 12:00:00,55636.87,55.64,1730.5
12.06.2020 12:00:00,55636.87,55.64,1730.5
11.06.2020 12:00:00,55890.86,55.89,1738.4
10.06.2020 12:00:00,56016.25,56.02,1742.3
